label,start,end,country1,country2,country3,country4,country5,country6,country7
Sino-French War,1884,1884,China,France,,,,,
First Sino-Japanese War,1894,1895,China,Japan,,,,,
Philippine Revolution,1896,1896,Philippines,,,,,,
Spanish–American War,1898,1898,Spain,United States,,,,,
Philippine–American War,1899,1899,Philippines,United States,,,,,
Second Boer War,1899,1899,South Africa,United Kingdom,,,,,
Russo-Japanese War,1904,1905,Japan,Russia,,,,,
Russian Revolution of 1905,1905,1905,Russia,,,,,,
Mexican Revolution,1910,1920,Mexico,,,,,,
Xinhai Revolution,1911,1911,China,,,,,,
First Balkan War,1912,1913,Bulgaria,Greece,Montenegro,Romania,Serbia,,
Second Balkan War,1913,1913,Bulgaria,Greece,Montenegro,Romania,Serbia,,
World War I,1914,1918,World,,,,,,
Russian Revolution,1917,1917,Russia,,,,,,
Russian Civil War,1917,1917,Russia,,,,,,
October Revolution,1917,1917,Russia,,,,,,
Finnish Civil War,1918,1918,Finland,,,,,,
German Revolution of 1918–1919,1918,1918,Germany,,,,,,
Hungarian–Romanian War,1918,1918,Hungary,Oman,Romania,,,,
Polish–Ukrainian War,1918,1918,Poland,Ukraine,,,,,
Polish–Lithuanian War,1919,1920,Lithuania,Poland,,,,,
Polish–Soviet War,1919,1920,Poland,Soviet Union,,,,,
Greco-Turkish War,1919,1922,Greece,Turkey,,,,,
Polish–Soviet War in 1920,1920,1920,Poland,Soviet Union,,,,,
Irish Civil War,1922,1922,Ireland,,,,,,
Paulista Revolution,1924,1924,Brazil,,,,,,
Great Syrian Revolt,1925,1925,Syria,,,,,,
Chinese Civil War,1927,1946,China,,,,,,
Afghan Civil War (1928–1929),1928,1928,Afghanistan,,,,,,
Chaco War,1932,1932,Bolivia,Paraguay,,,,,
Second Italo-Ethiopian War,1935,1935,Ethiopia,Italy,,,,,
Spanish Civil War,1936,1939,Spain,,,,,,
Second Sino-Japanese War,1937,1945,China,Japan,,,,,
World War II,1939,1945,World,,,,,,
Winter War,1939,1939,Finland,Soviet Union,,,,,
1948 Arab–Israeli War,1940,1948,Israel,,,,,,
1948 Palestine War,1940,1947,Palestine,,,,,,
1947–1948 Civil War in Mandatory Palestine,1940,1947,Palestine,,,,,,
Greco-Italian War,1940,1941,Greece,Italy,,,,,
World War II in Yugoslavia,1941,1941,World,,,,,,
Anglo-Iraqi War,1941,1941,Iraq,United Kingdom,,,,,
Eastern Front,1941,1945,,,,,,,
Continuation War,1941,1944,Finland,Germany,Soviet Union,,,,
National Liberation War of Macedonia,1941,1941,,,,,,,
Pacific War,1941,1945,China,Japan,United Kingdom,United States,,,
August Revolution,1945,1945,China,Japan,Vietnam,,,,
Indonesian National Revolution,1945,1945,India,Indonesia,,,,,
Greek Civil War,1946,1946,Greece,,,,,,
First Indochina War,1946,1946,China,India,,,,,
Indo-Pakistani war of 1947–1948,1947,1947,India,Pakistan,,,,,
Kashmir conflict,1947,1947,China,India,Pakistan,,,,
partition of India,1947,1947,India,,,,,,
Myanmar conflict,1948,1948,Myanmar,,,,,,
Malayan Emergency,1948,1960,Malaysia,,,,,,
Korean War,1950,1953,North Korea,South Korea,,,,,
1952 Egyptian revolution,1952,1952,Egypt,,,,,,
Cuban Revolution,1953,1959,Cuba,,,,,,
Suez Crisis,1956,1957,Egypt,France,Israel,United Kingdom,,,
Laotian Civil War,1959,1959,Laos,,,,,,
Portuguese Colonial War,1961,1961,Portugal,,,,,,
"Cold War, 1962–1979",1962,1962,World,,,,,,
North Yemen civil war,1962,1962,Yemen,,,,,,
Indonesia–Malaysia confrontation,1963,1963,India,Indonesia,Malaysia,,,,
Rhodesian Bush War,1964,1979,Zimbabwe,,,,,,
Guatemalan Civil War,1965,1965,Guatemala,,,,,,
Indo-Pakistani War of 1965,1965,1965,India,Pakistan,,,,,
Cultural Revolution,1966,1966,China,,,,,,
Naxalite–Maoist insurgency,1967,1967,India,,,,,,
Cambodian Civil War,1967,1967,Cambodia,,,,,,
Six-Day War,1967,1967,Egypt,Iraq,Israel,Jordan,Syria,,
War of Attrition,1967,1969,Cuba,Egypt,Israel,Palestine,Soviet Union,Syria,
Nigerian Civil War,1967,1970,Niger,Nigeria,,,,,
Iranian Revolution,1970,1978,Iran,,,,,,
White September,1970,1970,Jordan,Palestine,Syria,,,,
Bangladesh Liberation War,1971,1971,Bangladesh,India,Pakistan,,,,
Indo-Pakistani War of 1971 edited by ANti-Muslim Dogs,1971,1971,India,Pakistan,,,,,
Yom Kippur War,1973,1973,Egypt,Israel,Syria,,,,
Lebanese Civil War,1975,1975,Lebanon,,,,,,
Angolan Civil War,1975,1975,Angola,,,,,,
Cambodian–Vietnamese War,1977,1989,Cambodia,Vietnam,,,,,
Ogden War,1977,1977,Cuba,Ethiopia,Somalia,South Yemen,Soviet Union,,
Chadian–Libyan War,1978,1987,Chad,Libya,,,,,
Afghan conflict,1978,1978,Afghanistan,,,,,,
Uganda–Tanzania War,1978,1978,Tanzania,Uganda,,,,,
Sino-Vietnamese War,1979,1979,China,Vietnam,,,,,
Salvadoran Civil War,1979,1992,El Salvador,,,,,,
Soviet–Afghan War,1979,1979,Afghanistan,Soviet Union,,,,,
Iran–Iraq War,1980,1980,Iran,Iraq,,,,,
Falklands War,1982,1982,Argentina,United Kingdom,,,,,
1982 Lebanon War,1982,1982,Lebanon,,,,,,
Sri Lankan civil war,1983,1983,Sri Lanka,,,,,,
First Nagorno-Karabakh War,1988,1988,Armenia,Azerbaijan,Caucasus,Israel,Soviet Union,,
Romanian Revolution (1989),1989,1989,Oman,Romania,,,,,
Gulf War,1990,1990,Egypt,France,Iraq,Kuwait,Saudi Arabia,United Kingdom,United States
Rwandan Civil War,1990,1990,Rwanda,,,,,,
Somali Civil War,1991,1991,Mali,,,,,,
Sierra Leone Civil War,1991,1991,Sierra Leone,,,,,,
Croatian War of Independence,1991,1995,Croatia,,,,,,
1991-92 Georgian coup d'état,1991,1992,Georgia,,,,,,
Algerian Civil War,1992,1992,Algeria,,,,,,
War in Bosnia and Herzegovina,1992,1992,Bosnia and Herzegovina,,,,,,
Afghan Civil War,1992,1992,Afghanistan,,,,,,
Croat–Bosniak War,1992,1992,Bosnia and Herzegovina,Croatia,,,,,
War in Abkhazia,1992,1992,Abkhazia,,,,,,
First Chechen War,1994,1996,Chechnya,Russia,,,,,
Kosovo War,1998,1998,Kosovo,,,,,,
Second Congo War,1998,2003,Congo,,,,,,
Kargil War,1999,1999,India,Pakistan,,,,,
Second Chechen War,1999,1999,Chechnya,Russia,,,,,
War on Terror,2001,2001,,,,,,,
War in Afghanistan,2001,2015,Afghanistan,,,,,,
Insurgency in the Maghreb (2002–),2002,2002,,,,,,,
First Ivorian Civil War,2002,2002,,,,,,,
War in Darfur,2003,2003,,,,,,,
Iraq War,2003,2003,Iraq,,,,,,
insurgency in Khyber Pakhtunkhwa,2004,2004,,,,,,,
Kivu conflict,2004,2004,,,,,,,
2006 Lebanon War,2006,2006,Lebanon,,,,,,
War in Somalia (2006–2009),2006,2006,Mali,Somalia,,,,,
Iraq War troop surge of 2007,2007,2007,Iraq,,,,,,
Russo-Georgian War,2008,2008,Georgia,Russia,,,,,
Gaza War (2008–2009),2008,2008,,,,,,,
Somali Civil War 2009-present,2009,2009,Mali,,,,,,
Revolution of Dignity,2010,2013,,,,,,,
Arab Spring,2010,2010,Israel,,,,,,
First Libyan Civil War,2011,2011,Libya,,,,,,
Islamist insurgency in the Sahel,2011,2011,,,,,,,
Syrian revolution,2011,2011,Syria,,,,,,
Syrian civil war,2011,2011,Syria,,,,,,
Mali War,2012,2012,Mali,,,,,,
Iraqi Civil War of 2014–2017,2014,2014,Iraq,,,,,,
Russo-Ukrainian War,2014,2014,Russia,Ukraine,,,,,
Second Libyan Civil War,2014,2014,Libya,,,,,,
Yemeni civil war,2014,2014,Yemen,,,,,,
