PCA Component 1,PCA Component 2
0.41568244,-0.26693118
-0.4897474,0.23808755
-0.5815889,0.27175814
0.6741658,-0.35948053
0.61858207,0.5413174
-0.51200455,-0.07697003
0.018317757,0.106103495
-0.42221797,0.07143593
0.23675969,0.5499557
-0.69777286,0.3527235
-0.66494554,0.34801716
-0.443428,0.644178
-0.026534729,-0.1881355
0.29291213,-0.3978816
-0.07795773,-0.10639788
-0.54662645,0.56406206
0.6838749,1.2245294
-0.26623344,-0.08184895
-0.68741757,0.10056857
0.26987892,-0.3224065
0.37686217,0.17004779
-0.4502551,-0.2766434
-0.27970028,-0.17933059
-0.16575094,-0.6758386
0.5786865,0.741304
0.44088614,-0.63907
1.1007634,0.59664756
0.21533489,-0.49342546
-0.9135356,0.019235495
0.68510914,0.24749221
0.25562927,-0.7879834
-0.24771109,-0.30004257
0.181884,-0.3969622
0.23765029,-0.4639922
0.3049466,0.5643213
-0.5516662,0.17612003
-0.15882495,-0.0847323
0.22811781,-0.7930007
0.7335688,-0.12827994
0.022387294,-0.17938791
-0.39713475,0.092521325
-0.33679467,-0.07812261
0.477729,-0.2259813
-0.8185274,-0.007390775
0.29434806,-0.5050499
0.2346693,0.34023452
0.5266114,0.04582105
-0.09302747,-0.36072972
-0.44007272,-0.010648957
0.25294498,-0.17010011
0.09407809,0.2701258
-0.2582793,-0.4600377
-0.4482066,0.04612675
-0.65181404,-0.030708216
-0.100345515,-0.20110142
-0.50128716,-0.22335951
0.37175092,-0.3048131
0.05651008,-0.489118
0.40672234,-0.5317653
-0.41096574,-0.2328795
-0.12096929,-0.17278947
-0.5255158,0.20109792
0.37292758,-0.4120959
0.49347615,-0.14424342
-0.16345263,-0.3130075
-0.33068863,-0.4794036
0.2385534,-0.35172617
-0.024218217,-0.05102923
0.74614173,0.57821614
-0.24905272,-0.035845853
-0.7047219,-0.10556648
0.6525315,-0.4698507
-0.7114889,0.15509996
0.22878803,-0.51597744
0.36707494,-0.3719141
1.1535277,0.85940504
0.11947977,1.0807009
1.1423744,0.81028175
-0.19414315,0.13135049
-0.16247481,-0.23027152
0.37313643,-0.45681125
-0.7654042,0.060248207
-0.40106806,-0.025116943
-0.3374117,-0.12252995
0.27560648,-0.81848556
-0.20364846,0.011439447
-0.33708116,0.41551438
-0.424095,0.8139967
0.22169785,-0.2976992
0.3482722,0.027144719
0.10345023,-0.7699403
0.27367023,-0.36925918
0.31204492,-0.3474028
0.18871656,-0.628537
1.0703274,0.5574662
-0.013922305,-0.33600235
-0.54485565,0.15289396
-0.32947415,-0.21005417
0.49486467,-0.2126411
0.47371978,-0.013218059
-0.1572606,-0.17003416
0.81610936,0.100627944
0.023360617,0.1717318
0.08366108,-0.24279776
0.4082358,-0.8010833
-0.66552556,-0.06258232
0.24257319,-0.4112219
0.4795602,-0.393347
-0.409543,-0.047944147
1.0594041,0.5055036
0.30862868,-0.044045404
0.12380239,-0.20815583
0.91753507,0.7679738
0.26126954,-0.4301172
-0.047194697,0.08638725
-0.37909612,0.0041650617
-0.7016365,0.6281574
-0.30498025,0.2618014
-0.07792989,0.16459714
0.44470257,-0.2462913
0.75898683,0.07836058
0.4272863,1.0932188
-0.1182153,-0.008656743
0.4782022,0.42926106
-0.5113165,0.11333868
0.17219557,0.19449621
0.10555188,-0.43681052
-0.22333743,-0.120809115
-0.6997608,0.029783636
-0.30288315,0.14791512
0.2929347,-0.6817707
-0.02847635,0.16513325
0.13582964,-0.21671303
0.21940012,0.5727154
0.18342333,-0.3488525
0.16640685,-0.6153898
0.22477645,-0.82699573
-0.03479093,-0.08449611
0.11667696,0.18470572
-0.33560127,-0.05607834
0.30062816,0.12899551
0.2373998,0.71054333
-0.27799168,0.20207635
-0.33598778,-0.25847322
-0.076838754,-0.29511607
-0.2924387,0.037240084
-0.16184105,-0.39132628
0.16630578,-0.5818304
-0.3430435,-0.10802238
-0.53049374,0.09384224
-0.5195275,-0.25278914
0.30491602,-0.26383445
0.059790637,0.83230937
-0.51930624,0.2758098
-0.1143912,0.14082126
-0.19446181,-0.24090937
-0.24453524,-0.07838237
1.4486092,0.8339583
0.018328805,-0.34200805
0.4842631,0.7316037
0.18159275,-0.3809737
-0.15139405,-0.055988435
0.076272294,0.38660854
-0.50474375,0.24147694
-0.21056622,-0.4706599
0.8004188,1.2319752
-0.76333,-0.03389116
-0.4617291,0.0562011
0.76826364,0.0054931934
-0.14741617,-0.2039572
-0.2768499,0.15490529
-0.5016683,-0.1640488
-0.30157208,-0.23774555
1.0198791,0.6703852
0.29717535,-0.02822315
-0.55449903,0.020764574
-0.35182732,-0.04349028
0.20658547,0.72168016
0.11521479,-0.071442455
-0.33226222,-0.032781683
-0.0003380345,0.5865658
-0.40155733,0.24326308
0.46261367,-0.22032905
0.100330904,-0.2475605
-0.15074106,-0.31386235
-0.9802544,-0.13472027
0.41349667,-0.04691981
-0.7931493,0.27898183
-0.20746347,-0.23608449
0.14285032,-0.32197496
0.23657103,-0.10578513
0.13355416,-0.22204264
-0.18385528,-0.3790547
0.47639522,0.6107994
0.88151944,0.48514634
-0.30711707,-0.35452098
-0.54657197,-0.15218341
0.52963364,-0.85401505
-0.047031865,0.051537093
-0.36479557,0.08902669
0.58780146,-0.6186138
-0.10323264,0.07208602
0.52514946,-0.46415615
-0.66435605,0.54648274
-0.1394523,-0.3064498
0.21274477,0.018890262
-0.39299035,-0.11183434
-0.22032563,-0.032257874
0.47885138,-1.0906739
-0.8503668,0.344187
0.34088853,-0.52792215
0.7043555,1.1477649
-0.04917743,-0.24461459
0.051295515,-0.3459545
-0.22236338,0.20615937
-0.12039015,0.02569852
0.11074609,-0.11610529
0.15319332,0.45795864
-0.24946149,-0.009570073
0.7305704,1.2206036
0.10316868,-0.52471226
-0.29876134,0.3205288
-0.7106246,0.054450355
0.7006354,0.46058074
0.75713074,0.9999801
-0.1252979,-0.08354814
0.47595602,-0.4798923
-0.2797506,-0.1889227
0.32380652,-0.5697737
-0.4004363,-0.04246921
0.54236853,-0.482807
-0.19496538,-0.31288594
0.60375947,-0.3467762
-0.4522787,0.21441105
0.56706583,0.42996734
0.45304933,-0.5440181
0.1100618,-0.19133542
-0.34346703,0.6598165
-0.12748078,-0.20889182
0.5552349,-0.5326585
0.16463195,-0.20108235
0.04995457,-0.123195946
-0.31513742,0.32337055
-0.14236033,0.91625905
0.00793402,-0.14380892
-0.17156823,0.35400915
0.2958738,-0.21921663
0.40815875,-0.62028426
-0.15286952,-0.59932667
0.57624215,-0.7548813
0.6838424,1.1329652
-0.33137646,0.39632347
-0.41694993,0.32230476
-0.4161973,0.3563433
0.713109,1.1953433
0.26610616,-0.09517712
0.11397367,-0.1004604
-0.76325244,0.3833596
-0.036836036,-0.23063773
-0.42878872,-0.26199523
-0.30943078,0.28650296
1.4213333,0.48074552
0.6265873,-0.3497256
-0.38038397,-0.03770914
0.54477614,-0.15889876
0.593873,-0.24542746
-0.032007355,-0.3279535
0.1580412,0.09348523
-0.2795029,0.31676504
-0.44313937,-0.3326226
0.78499275,0.6689689
-0.6106414,-0.10307908
-0.65086305,0.42484677
0.12641981,-0.18254328
1.0770837,0.67520475
-0.663106,0.20338872
-0.3687008,-0.005841267
0.08292292,0.009711287
0.41993496,-0.38101926
0.59503245,0.67540646
0.2888277,-0.5564057
0.30621043,0.1037987
0.28793454,-0.19505788
0.11523542,-0.3698073
-0.12875299,0.5913451
-0.2831919,0.29438022
1.0549086,0.65209454
-0.36765626,0.28127447
0.22273095,-0.33512858
-0.14504628,-0.07487695
0.30242148,-0.57028353
0.65558606,0.24901049
-0.13659258,0.688244
0.34819278,0.74233085
0.12277897,-0.42160112
0.893064,0.7567613
-0.13772711,0.21916382
-0.13333902,0.3186832
0.1724347,-0.46556628
-0.45279372,0.32637548
0.14240327,0.032215744
-0.55314666,0.38695303
-0.30710244,0.65362954
0.021891927,-0.30514696
-0.3708527,0.17323938
-0.061937794,0.3915174
0.5892011,1.2970548
0.25424635,-0.18534744
-0.3406382,0.14949754
0.03195986,-0.3832378
0.08836157,0.2693254
-0.040058926,0.013965438
0.5621984,-0.5872781
0.59578365,-0.5147801
-0.11624012,0.13428809
0.22819252,0.13781033
0.25360966,-0.21468526
-0.13557856,-0.4186049
0.37430015,-0.5017224
-0.1303905,-0.26922336
-0.07953783,0.20875092
0.123923786,-0.23761597
-0.055206183,0.21555504
-0.26285595,-0.24118118
-0.12791386,-0.29685283
0.3497837,0.04293621
0.51145434,0.6078288
0.45016986,0.18553892
-0.10595252,-0.050896425
0.6074256,-0.7307877
-0.66280043,0.08165337
0.2252349,-0.23337702
-0.116592824,-0.5892826
0.2554427,-0.010263751
0.46681413,-0.0533623
0.4678123,-0.6151862
0.37286547,-0.2041587
0.046267968,-0.030548422
-0.02036914,-0.33330983
-0.4682288,0.24775878
-0.12353587,0.64437395
-0.6038465,-0.3193072
0.41151175,-0.7058272
-0.7218217,0.274895
-0.20348395,0.44403398
0.1784494,-0.42399427
-0.23069187,0.08652285
-0.3661837,0.118703805
0.33327675,-0.445103
-0.4989647,-0.090083726
0.0325819,0.71363807
-0.09217805,-0.21945259
1.3431997,0.5356722
-0.5488507,0.10290421
0.7261537,0.98921514
0.42349997,-0.32607582
-0.064700775,-0.7721859
-0.068700194,0.13496614
0.4075333,0.050543636
-0.66450316,0.1957418
0.66894424,0.77401984
0.40077743,-0.41970715
0.03127571,-0.8151725
-0.4332672,0.5946886
-0.3155294,-0.10169562
-0.78276986,-0.06573605
0.43252504,0.1793139
0.09832854,0.1894415
-0.54825276,-0.21246068
0.58769566,0.06238498
-0.15023758,-0.407057
0.17678928,-0.26177865
-0.007118321,0.08907397
0.29132396,-0.32805154
0.6543918,-0.75767297
-0.55258614,0.4288683
0.56476134,0.6002175
0.26401693,-0.2566191
0.14432442,-0.47044632
-0.4372409,0.57309765
-0.29377177,-0.06186558
0.26135153,-0.44359517
0.31449604,-0.59672314
-0.47405055,0.25934637
-0.22959912,-0.14803463
-0.07403139,0.31482905
0.5275931,0.3089091
0.6344235,0.6383737
-0.3169523,-0.4636759
-0.40761495,-0.13865808
-0.06760505,-0.32930535
-0.54398316,0.053810313
-0.24661745,-0.1711469
0.5688581,-0.5729082
0.24954283,0.95719767
0.009613576,-0.16548906
-0.48291242,-0.11598802
0.46986362,-0.25989687
-0.42146707,0.16091163
-0.5786864,-0.23295932
-0.39637586,0.31791672
0.016299566,-0.25909665
-0.38666663,-0.056371503
0.20715095,-0.2406592
-0.44342893,0.21426769
0.08651438,0.13035332
-0.45855865,0.51429516
0.81671584,0.63851976
-0.21601045,-0.0321188
0.25017595,-0.04772097
-0.62475216,-0.067830496
0.384928,-0.4810893
0.42536944,-0.5491062
1.3916744,0.5356959
0.044212393,0.16518317
-0.011878505,-0.23832004
0.7015273,0.6769549
-0.17413239,-0.2546569
0.55214864,0.3481483
-0.4778381,-0.34496135
0.16941911,-0.13976526
0.23335932,-0.74916434
0.1257531,-0.1521443
-0.36861354,-0.33248022
0.09134185,-0.44185278
1.2796489,0.98199356
-0.5006308,0.26419428
-0.0005623681,-0.49856505
0.88784593,0.37488845
0.52667785,0.9072884
-0.8028492,0.4115088
-0.75072557,0.041814093
0.1263987,-0.6592468
-0.083151385,0.16609406
0.12508182,0.0735642
0.17108335,-0.5310925
0.03337983,0.21990888
-0.20123772,-0.11896454
0.10718727,-0.37552086
-0.04769289,0.7348737
-0.5221397,-0.17469423
-0.437844,-0.018488083
-0.31152186,0.098747715
-0.5726251,0.13887541
0.3034152,-0.79387647
-0.73011607,0.3008506
-0.4412998,-0.151487
0.48554552,-0.70204574
-0.24331518,-0.14740328
0.2869714,0.2259738
0.3865588,0.88320583
0.1457831,-0.21305798
0.5241107,0.09671276
-0.97386324,0.1949936
-0.3006518,0.086097755
-1.0061651,-0.09913243
0.361035,-0.9067166
-0.08684003,-0.3517991
-0.18777667,0.5794815
-0.036781427,-0.08756624
-0.6814806,0.5251523
1.4829128,0.681988
-0.6746649,0.6320214
0.276065,-0.4455298
-0.40466884,0.2587147
-0.38069716,0.5906108
0.08364943,0.59514105
-0.066631965,0.0060564047
-0.012239027,0.194034
0.46665066,-0.7426634
0.51468545,-0.14074518
-0.14504257,-0.083623745
-0.48111564,0.3024822
-0.13513625,0.0621628
0.06303982,0.33073848
-0.49989545,0.07103936
0.7133528,-0.7610702
-0.23976588,-0.23378183
-0.40479413,-0.019132718
-0.17479822,-0.20129745
-0.4410138,0.008465848
0.26916048,-0.2954705
0.37065277,-0.78912216
-0.73866034,0.30821463
0.7054791,0.5765582
0.12052083,-0.073735856
0.21023282,-0.5105461
-0.20370458,-0.16351007
-0.04219009,-0.6250876
0.18250644,-0.3615743
-0.31097654,0.39071766
-0.006868563,-0.25668994
0.274456,-0.05620407
0.2766641,-0.15637855
0.933019,0.19439979
0.26064852,-0.52388203
-0.24243166,0.19451883
-0.54077995,-0.0102711795
-0.5967443,0.542698
1.1600844,0.6426355
0.0060608177,-0.24217667
0.30732885,0.19654645
-0.20689319,0.25681794
0.35090616,0.19863187
0.07715857,-0.050465178
0.29316217,-0.549312
-0.023608083,0.14096463
-0.3695834,0.14867298
0.09034608,-0.6656275
0.5316554,-0.5385475
0.330707,0.17983022
-0.10840168,-0.28737855
0.349415,0.080829486
-0.38439623,0.22795096
0.18125308,-0.11741481
0.48418605,0.3934622
0.13782611,-0.318313
-0.59118587,-0.10615121
-0.27461174,0.26591393
0.13048355,-0.39697957
0.06849505,-0.4051268
-0.12843515,-0.12258256
0.16755559,-0.15782234
0.8611678,-0.6783248
-0.7406983,0.015055683
-0.8468038,-0.11594955
-0.18096744,-0.13940957
0.17177147,-0.41125372
-0.30573526,-0.19385576
-0.31448796,0.24624299
-0.2968248,0.30828816
-0.54599357,0.36060047
-0.4673791,0.03288659
0.89892924,0.13144311
-0.14101772,0.4840032
0.2428161,-0.15196906
-0.22474185,0.24500915
0.08617636,-0.82558054
-0.2012097,-0.14405003
-0.922105,0.442831
0.30305338,-0.64949197
-0.42284396,-0.08229173
0.6377197,0.1151495
0.39592278,0.5731449
-0.32896352,0.36398345
-0.27267644,-0.13645966
0.26367447,0.1840776
-0.5771659,0.67548406
-0.18887825,-0.030653466
0.07591743,-0.46620902
-0.6981892,0.3198572
0.29304528,-0.32055178
-0.17615424,0.37281087
0.02325989,-0.21028964
0.08828893,-0.25354272
0.19477236,-0.104526065
-0.22366726,-0.3564238
-0.003304583,0.48951435
-0.3749597,-0.46718213
-0.17651692,0.1560496
0.13108145,-0.45671293
0.1424718,0.4722811
-0.8293215,0.5089648
0.23014618,-0.4757758
0.23617645,0.84799653
-0.23944445,-0.115830556
-0.5201536,0.34102336
-0.49054298,0.079462826
0.4088998,0.6990777
-0.31969273,0.12837155
0.3866569,0.56994706
-0.6152032,0.044324122
-0.19156285,0.20959073
-0.543962,0.55694467
-0.22191115,-0.45956886
-0.409367,0.13980658
0.0660737,-0.2697871
0.15690397,0.93454075
-0.38189435,0.20664059
-0.9280911,0.41871583
-0.04875518,-0.21575989
-0.08294384,-0.16612306
0.5264984,0.8044067
-0.6284717,0.21160683
0.3459474,0.69320905
-0.42829308,0.13598719
0.1306623,0.15247788
0.35460111,-0.5012339
-0.5447378,0.4299632
0.18132706,-0.24312674
0.1711089,0.05764925
-0.3499708,0.04438485
-0.22821487,0.17182747
-0.20946725,0.013078075
0.07028644,-0.27443737
-0.35960194,-0.05783255
0.29783124,-0.7724481
0.6714499,1.0204732
-0.32544652,-0.1275442
-0.17271948,0.041452486
-0.27839378,0.5579609
-0.43632638,0.1781548
0.1546087,-0.38880265
-0.08758377,-0.21378149
-0.1963035,-0.37693292
0.4741291,0.33862853
-0.3338177,0.11119942
0.085223325,-0.35659212
0.053836178,-0.46140486
0.74806803,-0.6913727
-0.50696015,0.18126334
0.2042209,-0.24840696
-0.6736892,0.10181737
0.5082386,-0.692228
-0.6264248,0.10508057
0.05152866,-0.074157394
-0.0060901013,-0.16836594
0.06171071,-0.2896457
-0.12090486,0.08179279
-0.05665284,-0.063763894
0.3496711,-0.46412274
1.0543212,0.23665752
-0.7133362,0.12751491
0.13325426,-0.41777584
0.31674793,1.0001285
0.04806562,0.43558425
0.21334198,-0.017053712
0.6572029,0.826152
0.4476108,-0.029307319
0.46890146,-0.091849044
0.13222723,-0.53955424
0.2538204,-0.68436515
0.09838315,0.21124989
-0.13570544,0.61738133
0.3113479,0.71153784
0.01229346,-0.44701204
0.7615115,-0.89982444
0.33197957,0.36234877
0.5205161,-0.12818398
-0.12808248,0.36756176
0.48060682,-0.18709959
0.057873305,-0.25264627
0.0153741725,-0.15842314
-0.2270419,0.5082921
0.22103177,0.085282974
-0.07267506,0.21267693
-0.27519712,-0.14525175
-0.51074326,-0.27492914
-0.4224763,0.23181227
0.19409753,-0.48326945
-0.2456777,0.19319974
0.015705438,-0.10577564
0.29551974,-0.3161106
-0.12527157,-0.28113538
0.2794862,0.31175953
0.19786757,0.07956227
-0.037114054,-0.4304168
-0.13553125,0.44077766
0.18804139,-0.49667525
0.12556702,-0.70382065
0.51101327,0.03205129
0.20791069,0.5758613
0.17566825,-0.09655404
0.6860765,-0.3423569
-0.44510216,-0.62515897
-1.4039854,0.44145575
0.48133978,-0.576041
0.1676127,-0.12919362
-0.00421366,-0.22998057
-0.031893943,-0.38146532
0.16346815,-0.5738982
-0.3178031,-0.23815437
0.16110021,-0.33258006
-0.59774035,0.26822588
-0.6988119,0.28864112
0.04902054,-0.31359676
-0.60393184,0.058652285
-0.15308695,0.20893131
0.21673901,0.4242074
-0.35464522,0.012029211
-0.6078187,-0.0669032
0.0191846,-0.04946369
-0.5743769,0.05892665
-0.59175646,0.7147562
-0.7430056,-0.09759988
0.11315715,-0.23868202
-0.49085405,-0.12854333
-0.48160353,0.07478347
-0.45329857,-0.11203503
-0.49597204,0.023300182
0.31103405,0.12620063
0.3274092,-0.30963373
-0.46712682,0.051829703
